Group num: 0, TC(X;Y_j): 0.071
guess, 0.007, 1.000, 0.007
back, 0.006, 1.000, 0.006
liberate, 0.005, 1.000, 0.005
barrack, 0.005, 1.000, 0.005
swear, 0.005, 1.000, 0.005
ss, 0.002, 1.000, 0.002
Group num: 5, TC(X;Y_j): 0.042
day, 0.077, 1.000, 0.077
night, 0.058, 1.000, 0.058
stay, 0.025, 1.000, 0.025
friend, 0.019, 1.000, 0.019
wish, 0.013, 1.000, 0.013
rabbi, 0.013, 1.000, 0.013
today, 0.013, 1.000, 0.013
middle, 0.010, 1.000, 0.010
girl, 0.010, 1.000, 0.010
sleep, 0.009, 1.000, 0.009
send, 0.008, 1.000, 0.008
save, 0.007, 1.000, 0.007
service, 0.007, 1.000, 0.007
farmer, 0.007, 1.000, 0.007
trip, 0.006, 1.000, 0.006
none, 0.006, 1.000, 0.006
cut, 0.006, 1.000, 0.006
hear_voice, 0.006, 1.000, 0.006
Dad, 0.006, 1.000, 0.006
power, 0.006, 1.000, 0.006
snow, 0.006, 1.000, 0.006
ph, 0.005, 1.000, 0.005
invite, 0.004, 1.000, 0.004
bear, 0.004, 1.000, 0.004
Sorry, 0.003, 1.000, 0.003
begin, 0.003, 1.000, 0.003
Group num: 6, TC(X;Y_j): 0.040
year, 0.080, 1.000, 0.080
put, 0.046, 1.000, 0.046
lot, 0.037, 1.000, 0.037
let, 0.021, 1.000, 0.021
talk, 0.021, 1.000, 0.021
wife, 0.017, 1.000, 0.017
bed, 0.014, 1.000, 0.014
know, 0.012, 1.000, 0.012
point, 0.012, 1.000, 0.012
moment, 0.011, 1.000, 0.011
wait, 0.009, 1.000, 0.009
right, 0.008, 1.000, 0.008
Poland, 0.007, 1.000, 0.007
birthday, 0.007, 1.000, 0.007
United_States, 0.007, 1.000, 0.007
New_York, 0.007, 1.000, 0.007
guy, 0.007, 1.000, 0.007
ms, 0.006, 1.000, 0.006
mama, 0.006, 1.000, 0.006
hide, 0.006, 1.000, 0.006
holiday, 0.005, 1.000, 0.005
fire, 0.005, 1.000, 0.005
singing, 0.005, 1.000, 0.005
lady, 0.005, 1.000, 0.005
mine, 0.003, 1.000, 0.003
knee, 0.003, 1.000, 0.003
German, 0.003, 1.000, 0.003
Group num: 7, TC(X;Y_j): 0.040
mother, 0.070, 1.000, 0.070
sister, 0.048, 1.000, 0.048
people, 0.041, 1.000, 0.041
say, 0.038, 1.000, 0.038
parent, 0.037, 1.000, 0.037
bring, 0.015, 1.000, 0.015
say_goodbye, 0.015, 1.000, 0.015
word, 0.012, 1.000, 0.012
somebody, 0.012, 1.000, 0.012
nobody, 0.010, 1.000, 0.010
hand, 0.008, 1.000, 0.008
fall, 0.006, 1.000, 0.006
anybody, 0.003, 1.000, 0.003
worry, 0.003, 1.000, 0.003
beg, 0.003, 1.000, 0.003
Group num: 8, TC(X;Y_j): 0.034
lay, 0.038, 1.000, 0.038
look, 0.032, 1.000, 0.032
nothing, 0.030, 1.000, 0.030
go, 0.027, 1.000, 0.027
jump, 0.020, 1.000, 0.020
listen, 0.016, 1.000, 0.016
bar_mitzvah, 0.016, 1.000, 0.016
floor, 0.010, 1.000, 0.010
room, 0.009, 1.000, 0.009
build, 0.009, 1.000, 0.009
book, 0.008, 1.000, 0.008
suppose, 0.007, 1.000, 0.007
rest, 0.006, 1.000, 0.006
camp, 0.006, 1.000, 0.006
Germans, 0.004, 1.000, 0.004
course, 0.003, 1.000, 0.003
gon, 0.002, 1.000, 0.002
Germany, 0.002, 1.000, 0.002
dog, 0.001, 1.000, 0.001
return, 0.001, 1.000, 0.001
punishment, 0.001, 1.000, 0.001
Group num: 9, TC(X;Y_j): 0.033
thing, 0.055, 1.000, 0.055
name, 0.044, 1.000, 0.044
call, 0.042, 1.000, 0.042
school, 0.021, 1.000, 0.021
think, 0.019, 1.000, 0.019
mean, 0.014, 1.000, 0.014
mind, 0.012, 1.000, 0.012
sigh, 0.011, 1.000, 0.011
pay, 0.011, 1.000, 0.011
clothes, 0.011, 1.000, 0.011
ghetto, 0.011, 1.000, 0.011
face, 0.010, 1.000, 0.010
touch, 0.009, 1.000, 0.009
hour, 0.008, 1.000, 0.008
body, 0.006, 1.000, 0.006
mg, 0.006, 1.000, 0.006
forest, 0.005, 1.000, 0.005
July, 0.005, 1.000, 0.005
number, 0.005, 1.000, 0.005
town, 0.004, 1.000, 0.004
organization, 0.004, 1.000, 0.004
wonder, 0.004, 1.000, 0.004
someplace, 0.003, 1.000, 0.003
gs, 0.003, 1.000, 0.003
example, 0.002, 1.000, 0.002
Group num: 10, TC(X;Y_j): 0.031
life, 0.039, 1.000, 0.039
make, 0.036, 1.000, 0.036
turn, 0.026, 1.000, 0.026
walk, 0.025, 1.000, 0.025
side, 0.024, 1.000, 0.024
help, 0.021, 1.000, 0.021
realize, 0.017, 1.000, 0.017
cousin, 0.017, 1.000, 0.017
remember, 0.013, 1.000, 0.013
street, 0.012, 1.000, 0.012
truck, 0.010, 1.000, 0.010
barracks, 0.007, 1.000, 0.007
figure, 0.006, 1.000, 0.006
boy, 0.006, 1.000, 0.006
get_marry, 0.005, 1.000, 0.005
tank, 0.005, 1.000, 0.005
half, 0.005, 1.000, 0.005
crematorium, 0.004, 1.000, 0.004
stand, 0.004, 1.000, 0.004
minute, 0.004, 1.000, 0.004
trouble, 0.004, 1.000, 0.004
ship, 0.004, 1.000, 0.004
control, 0.001, 1.000, 0.001
Group num: 11, TC(X;Y_j): 0.027
eat, 0.043, 1.000, 0.043
food, 0.036, 1.000, 0.036
city, 0.025, 1.000, 0.025
open, 0.023, 1.000, 0.023
hear, 0.013, 1.000, 0.013
potato, 0.012, 1.000, 0.012
Sunday, 0.012, 1.000, 0.012
papers, 0.008, 1.000, 0.008
feed, 0.008, 1.000, 0.008
meat, 0.008, 1.000, 0.008
tomorrow, 0.008, 1.000, 0.008
England, 0.008, 1.000, 0.008
May, 0.008, 1.000, 0.008
ask, 0.007, 1.000, 0.007
shoot, 0.007, 1.000, 0.007
animal, 0.007, 1.000, 0.007
manage, 0.007, 1.000, 0.007
carry, 0.003, 1.000, 0.003
sort, 0.002, 1.000, 0.002
