,0,1
377,come,2665
378,come_back,2486
379,come_closer,388
380,commit_suicide,499
381,common_sense,69
382,communism,184
383,communist,851
384,community,1261
385,complain,621
386,completely,1349
387,comply_with,51
388,compose,162
389,comrade,170
390,concentration-camp,4
391,concentration_camp,2006
392,concern,1021
393,confessional,8
394,confirm,197
395,confirmation,84
396,conflict,239
397,confusing,71
398,connection,903
399,connection_with,542
400,consciously,113
401,consciousness,122
402,conservative,337
403,consider_ourselves,45
404,consist_of,413
405,constitution,66
406,conversation,928
407,convert,528
408,convey,147
409,cope_with,292
410,corner,1141
411,corpse,300
412,cost,601
413,costume,112
414,could,2647
415,could_not,2601
416,count,1299
417,counter,187
418,country,2153
419,countryside,282
420,couple,1418
421,couple_of,1626
422,court,650
423,courtyard,349
424,cousin,1731
425,cover,1570
426,crawl,472
427,crazy,1043
428,cream,175
429,crew,261
430,crisis,160
431,crop,119
432,crowd,767
433,crude,39
434,cry,1842
435,culture,617
436,cup_of,332
437,cure,259
438,curfew,458
439,custom_official,15
440,cycle,70
441,cynical,60
442,cynicism,10
443,czech,369
444,czech_language,13
445,daily,606
446,damn,239
447,danger,975
448,dangerous,780
449,dare,496
450,dark,1323
451,date,1908
452,daughter,1931
453,dawn,144
454,day,2615
455,daylight,263
456,dead,1909
457,deal,673
458,deal_with,1022
459,dear,299
460,death,1692
461,decide,2201
462,defend,352
463,defens,34
464,defensiveness,1
465,degree,798
466,dehumanize,101
467,delay,169
468,demand,490
469,democratic,185
470,denude,4
471,depend_on,515
472,deposit,179
473,describe,1875
474,desert,311
475,designate,219
476,desire,352
477,destination,382
478,detail,1004
479,develop,918
480,die,2506
481,dieting,5
482,difference,1210
483,different,2449
484,different_direction,183
485,different_nationality,102
486,difficult,1408
487,direct,701
488,directly,739
489,disappear,1240
490,disappointment,166
491,disaster,226
492,discreet,18
493,discrimination,213
494,discrimination_against,37
495,discuss,1048
496,discussion,614
497,discussion_about,139
498,disfigure,8
499,disgraceful,7
500,dish,569
501,disinterest,4
502,disk,27
503,dispersed,8
504,dissolution,5
505,distinctly,110
506,district,451
507,divide_into,219
508,do_not,2665
509,door,2049
510,doubt,373
511,downstairs,712
512,dream,1162
513,dream_about,307
514,dress,1684
515,drift,92
516,dry,693
517,dual,39
518,each_other,1983
519,earlier,1123
520,earlier_than,113
521,early,1696
522,early_morning,219
523,earthquake,51
524,easier,745
525,east,825
526,easy,1487
527,eat,2322
528,economic_situation,60
529,education,1425
530,educational_system,48
531,effect,696
532,effort,541
533,eight_year,724
534,either,2050
535,elapse,40
536,elderly_woman,80
537,election,203
538,electric,387
539,electric_wire,153
540,else,1570
541,emaciate,82
542,emigration,183
543,emotional,436
544,emotionally,320
545,empathize_with,14
546,empty,1221
547,encounter,415
548,end,2240
549,end_of,2318
550,endless,110
551,enemy,710
552,energy,316
553,engineer,725
554,english,950
555,enjoin,1
556,enjoy,1052
557,enmity,9
558,enough,2246
559,enquiry,8
560,enter,1122
561,enthusiasm,100
562,equally,155
563,equip,169
564,erwacht,2
565,escape,1662
566,escort,249
567,especially,1757
568,established,106
569,establishment,218
570,evacuate,730
571,even,2557
572,even_today,331
573,evening,1675
574,event,889
575,eventually,1253
576,ever,2350
577,ever_hear,424
578,ever_since,340
579,every,2403
580,every_Sunday,245
581,every_day,1907
582,every_morning,810
583,every_night,670
584,every_single,320
585,everybody,2433
586,everything,2534
587,evidently,210
588,ex-Nazis,8
589,ex_--,150
590,exact,439
591,except_for,592
592,exchange,877
593,excuse,1363
594,execute,427
595,exercise,397
596,exhale,9
597,exhibition,109
598,exist,1205
599,exist_anymore,95
600,existence,525
601,exonerate,12
602,expect,1384
603,expectation,179
604,experience,2212
605,explain,1753
606,exposure,111
607,expression,532
608,extent,478
609,extermination_camp,285
610,extra,710
611,extra_ration,56
612,eye,1626
613,eyesight,46
614,f_--,335
615,face,1774
616,fact,2158
617,factory,1784
618,fair,459
619,fairgr,1
620,fairground,8
621,fairly_soon,33
622,faith,507
623,fall,1849
624,fall_down,581
625,family,2619
626,famous,827
627,far,1659
628,fascism,65
629,fashion,331
630,fast,1184
631,fat,529
632,father_'s,1114
633,fear,1200
634,feel,2553
635,feeling,1854
636,few_year,944
637,field,1520
638,fight,1986
639,figuratively,15
640,fill,794
641,finances,57
642,find,2582
643,fine,1454
644,first,2633
645,first_time,1824
646,five,2063
647,five_minute,405
648,five_year,1134
649,fix,689
650,flamboyant,5
651,flank,30
652,flash,110
653,flood,149
654,fluently,224
655,follow,1631
656,food,2408
657,fool,247
658,foot,1662
659,for_instance,891
660,foreign,438
661,forget,2258
662,form,1297
663,formally,93
664,fortification,74
665,fortress,123
666,fortunate,432
667,fortune,271
668,forty,247
669,found,171
670,founder,48
671,four,2292
672,four-year-old,26
673,four_year,1200
674,fraction,42
675,franca,9
676,free,1912
677,freedom,855
678,freely,270
679,french,1233
680,friend,2545
681,friendly_with,368
682,from_Czechoslovakia,460
683,full,1794
684,fully,351
685,fully_arm,10
686,funeral,399
687,funny_incident,22
688,furious,168
689,furniture,929
690,future,1206
691,g_--,175
692,garrison,98
693,gas,1012
694,gas_chamber,840
695,gas_oven,28
696,gendarme,223
697,general,1369
698,geog,1
699,geographic,32
700,geography,269
701,german,2551
702,german-speaking,67
703,german_guard,310
704,german_literature,29
705,german_soldier,1025
706,get,2661
707,get_marry,1776
708,get_sick,931
709,ghetto,1630
710,ghostly,9
711,gifted,58
712,girl,2203
713,girlfriend,802
714,give,2657
715,glass,903
716,glimmer,21
717,go,2665
718,go_ahead,945
719,go_anywhere,381
720,go_back,2542
721,go_straight,430
722,go_through,2314
723,god,324
724,golem,5
725,good,2578
726,good_memory,129
727,government,1481
728,graduate,746
729,greying,1
730,grim,40
731,ground,1305
732,ground_floor,115
733,group,2202
734,grow,1211
735,grow_up,1892
736,guard,1602
737,guess,1669
738,guest,405
739,gun,1330
740,gym,131
741,gymnasium,574
742,gymnastics,80
743,hail,59
744,half,2133
745,hall,565
746,hallway,211
747,hand,2227
748,happen,2621
749,happily_ever,8
750,happy,1916
751,hard,2021
752,hard_time,485
753,harder,365
754,hardest,136
755,hate,1297
756,hay,415
757,haze,22
758,head,2195
759,healthy,856
760,hear,2540
761,hear_about,1429
762,heart,1289
763,heated,34
764,height_of,109
765,help,2558
766,herd,198
767,herd_into,68
768,heritage,183
769,hesitation,47
770,hide,2106
771,hierarchy,145
772,high,1565
773,high-ranking,52
774,high-school,8
775,high_school,1449
776,high_temperature,103
777,higher,577
778,higher_than,100
779,highly,258
780,historical,274
781,historically,112
782,history,1519
783,hit,1610
784,hm,196
785,hm_?,49
786,hmm,117
787,hold,2036
788,hole,1094
789,home,2566
790,honest,510
791,hope,2054
792,horrendous,187
793,horrible_thing,292
794,horror,528
795,horse,1433
796,hospital,1893
797,hot,909
798,hotel,964
799,hour,1982
800,house,2524
801,housing,313
802,how_long,2053
803,how_many,2084
804,how_much,1438
805,huddle_together,62
806,human,1008
807,humane,107
808,humanity,393
809,hundred,1341
810,hungry,1403
811,hurt,1232
812,husband,1936
813,hut,245
814,i.,810
815,idea,1549
816,if_somebody,1042
817,illegal,546
818,illustration,40
819,image,334
820,imagine,1418
821,immediately,1280
822,immigrant,393
823,impact,315
824,importance,273
825,impossible,1049
826,impression,724
827,in_Washington,789
828,in_charge,1224
829,in_retrospect,282
830,inappropriate,29
831,incident,1115
832,incredible,413
833,indeed,346
834,independence,252
835,independent,458
836,indicate,321
837,individual,683
838,infant,147
839,infection,297
840,influx_of,88
841,information,1142
842,inkling,120
843,innate,17
844,input,40
845,inside,1743
846,insight,76
847,instance,417
848,instil,66
849,insulate,47
850,integrated,15
851,intend_to,265
852,interest,887
853,interested,759
854,interested_in,975
855,interesting,1151
856,interrogation,233
857,interrupt,466
858,interview,2183
859,interviewer_1,108
860,interviewer_2,110
861,interviewer_:,181
862,involve,1388
863,involvement,198
864,irreligious,20
865,issue,778
866,it_seem,931
867,italian,608
868,its_own,202
869,jail,855
870,jam,228
871,japanese,237
872,jew,2215
873,jewish,2608
874,jewish_community,1251
875,jewish_population,544
876,jewish_religion,272
877,job,2293
878,join,1651
879,judgment,179
880,jump,1315
881,junk,114
882,just_recently,156
883,justify,115
884,ka,10
885,kapo,483
886,keep,2507
887,kid,1837
888,kill,2393
889,kind,1052
890,kind_of,2368
891,kitchen,1599
892,kneel,156
893,kneel_down,76
894,know,2662
895,know_whether,927
896,label,135
897,labor,733
898,lack_of,376
899,land,1422
900,landscape,63
901,landslide,4
902,language,1987
903,lapel,113
904,large,1197
905,last,2284
906,last_question,131
907,last_year,688
908,later,2454
909,later_on,1722
910,laud,4
911,laugh_-rsb-,15
912,laundry,324
913,law,1235
914,lawyer,908
915,layer,187
916,learn,2318
917,learn_english,116
918,leave,2641
919,left,1548
920,legacy,142
921,legislation,56
922,lesson,870
923,let,2516
924,level,772
925,liberal,265
926,liberate,1591
927,liberation,1199
928,liberator,224
929,lice,787
930,lie,1285
931,life,2598
932,lift,584
933,light,1571
934,lightly,70
935,like,2655
936,limb,88
937,limit,429
938,limitation,76
939,linen,299
940,linger,70
941,lingua,11
942,link,194
943,listen,1844
944,little,2571
945,live,2637
946,living,1758
947,load,942
948,loaf_of,442
949,local,795
950,local_population,111
951,located,496
952,location,351
953,lodge,96
954,lonely,226
955,long,2213
