,0,1
393,hard,2021
394,hard_time,485
395,harder,365
396,hardest,136
397,hate,1297
398,hay,415
399,haze,22
400,head,2195
401,healthy,856
402,hear,2540
403,hear_about,1429
404,heart,1289
405,heated,34
406,height_of,109
407,help,2558
408,herd,198
409,herd_into,68
410,heritage,183
411,hesitation,47
412,hide,2106
413,hierarchy,145
414,high,1565
415,high-ranking,52
416,high-school,8
417,high_school,1449
418,high_temperature,103
419,higher,577
420,higher_than,100
421,highly,258
422,historical,274
423,historically,112
424,history,1519
425,hit,1610
426,hm,196
427,hm_?,49
428,hmm,117
429,hold,2036
430,hole,1094
431,home,2566
432,honest,510
433,hope,2054
434,horrendous,187
435,horrible_thing,292
436,horror,528
437,horse,1433
438,hospital,1893
439,hot,909
440,hotel,964
441,hour,1982
442,house,2524
443,housing,313
444,how_long,2053
445,how_many,2084
446,how_much,1438
447,huddle_together,62
448,human,1008
449,humane,107
450,humanity,393
451,hundred,1341
452,hungry,1403
453,hurt,1232
454,husband,1936
455,hut,245
456,i.,810
457,idea,1549
458,if_somebody,1042
459,illegal,546
460,illustration,40
461,image,334
462,imagine,1418
463,immediately,1280
464,immigrant,393
465,impact,315
466,importance,273
467,impossible,1049
468,impression,724
469,in_Washington,789
470,in_charge,1224
471,in_retrospect,282
472,inappropriate,29
473,incident,1115
474,incredible,413
475,indeed,346
476,independence,252
477,independent,458
478,indicate,321
479,individual,683
480,infant,147
481,infection,297
482,influx_of,88
483,information,1142
484,inkling,120
485,innate,17
486,input,40
487,inside,1743
488,insight,76
489,instance,417
490,instil,66
491,insulate,47
492,integrated,15
493,intend_to,265
494,interest,887
495,interested,759
496,interested_in,975
497,interesting,1151
498,interrogation,233
499,interrupt,466
500,interview,2183
501,interviewer_1,108
502,interviewer_2,110
503,interviewer_:,181
504,involve,1388
505,involvement,198
506,irreligious,20
507,issue,778
508,it_seem,931
509,italian,608
510,its_own,202
511,jam,228
512,japanese,237
513,jew,2215
514,jewish,2608
515,jewish_community,1251
516,jewish_population,544
517,jewish_religion,272
518,job,2293
519,join,1651
520,judgment,179
521,jump,1315
522,junk,114
523,just_recently,156
524,justify,115
525,ka,10
526,kapo,483
527,keep,2507
528,kid,1837
529,kill,2393
530,kind,1052
531,kind_of,2368
532,kitchen,1599
533,kneel,156
534,know,2662
535,know_whether,927
536,label,135
537,labor,733
538,lack_of,376
539,land,1422
540,landscape,63
541,landslide,4
542,language,1987
543,lapel,113
544,large,1197
545,last,2284
546,last_question,131
547,last_year,688
548,later,2454
549,later_on,1722
550,laud,4
551,laugh_-rsb-,15
552,laundry,324
553,law,1235
554,lawyer,908
555,layer,187
556,learn,2318
557,leave,2641
558,left,1548
559,legacy,142
560,legislation,56
561,lesson,870
562,let,2516
563,level,772
564,liberal,265
565,liberate,1591
566,liberation,1199
567,liberator,224
568,lice,787
569,lie,1285
570,life,2598
571,lift,584
572,light,1571
573,lightly,70
574,like,2655
575,limb,88
576,limit,429
577,limitation,76
578,linen,299
579,linger,70
580,lingua,11
581,link,194
582,listen,1844
583,little,2571
584,live,2637
585,living,1758
586,load,942
587,loaf_of,442
588,local,795
589,local_population,111
590,located,496
591,location,351
592,lodge,96
593,lonely,226
594,long,2213
595,long-range,11
596,long-term,20
597,long_enough,237
598,long_time,1679
599,longer,879
600,longest_time,75
601,look,2585
602,look_at,2184
603,look_like,1763
604,lose,2287
605,loss,427
606,lot,492
607,lot_of,1208
608,love,1875
609,lovely,671
610,lucky,1500
611,luggage,419
612,lunch,792
613,lyceum,54
614,machine_gun,748
615,maid,719
616,make,2647
617,make_peace,84
618,man,2557
619,manage,1465
620,many,2496
621,many_year,1207
622,march,1536
623,margarine,228
624,married_sister,39
625,marry,2238
626,martyr,69
627,mass,536
628,material,1047
629,matter_of,1470
630,maybe,2501
631,meaning,447
632,meaningless,47
633,mediate,12
634,medical_care,102
635,medical_school,233
636,meet,2500
637,meeting,1129
638,member,645
639,memory,1549
640,mention,1992
641,merge,43
642,message,1054
643,mid,154
644,middle,1454
645,middle_age,42
646,midnight,199
647,might,1839
648,mile,778
649,million,830
650,mind,2168
651,mine,1229
652,mining_town,19
653,minority,294
654,minute,1696
655,mistake,793
656,mix_up,315
657,mixed_marriage,97
658,mm-hmm,101
659,model,189
660,moechten,1
661,moment,1642
662,momentum,19
663,money,2268
664,monstrous,18
665,morale,146
666,more_than,1768
667,morning,2272
668,morning_till,121
669,most_of,2115
670,mostly,1768
671,mother,2376
672,motion,252
673,mountain,991
674,move,2439
675,move_around,398
676,much,2526
677,museum,675
678,musical,200
679,must,1800
680,must_have,1965
681,mut,12
682,my_aunt,1157
683,my_cousin,1236
684,my_daughter,1148
685,my_father,2490
686,my_favorite,248
687,my_girlfriend,396
688,my_husband,1221
689,my_mind,1322
690,my_mother,2461
691,my_sister,1532
692,my_son,1186
693,my_uncle,1421
694,naked,600
695,name,2606
696,narrowly,8
697,nation,533
698,national,462
699,national_holiday,31
700,nationalism,55
701,nationality,554
702,natural_cause,82
703,near,1935
704,nearly,353
705,necessary,677
706,necessity,254
707,need,2475
708,negotiate,129
709,neighbor,1552
710,never,2597
711,never_expect,97
712,never_hear,903
713,never_occur,109
714,new,1981
715,news,1290
716,next,2296
717,nice,2025
718,nickname,394
719,night,2375
720,nightmare,566
721,nightmarish,18
722,no_choice,497
723,no_desire,65
724,no_explanation,64
725,no_idea,1101
726,nobo,5
727,nobody,2314
728,nobody_care,145
729,nobody_ever,343
730,non-jew,782
731,normal,1321
732,north,574
733,nostalgia,23
734,not_allow,1491
735,nothing,2518
736,nothing_else,666
737,nowadays,198
738,number,2021
739,obviously,980
740,occasional,95
741,occur,664
742,occurrence,98
743,office,1614
744,official,890
745,officially,534
746,often,1244
747,oh,2228
748,ok,1287
749,old,2528
750,old-age,24
751,older,1923
752,omit,58
753,on_Sunday,408
754,on_Sundays,176
755,on_Yom,219
756,one,2660
757,only_thing,1384
758,open,2263
759,open_cattle,32
760,operate,559
761,operation,657
762,opportunistic,9
763,opt,49
764,optimistic,163
765,or_five,946
766,or_four,1150
767,or_less,951
768,or_something,1926
769,order,2079
770,orderliness,8
771,ordinary,342
772,organization,1616
773,orientation,109
774,originally,749
775,orthodox,575
776,ostentatiously,5
777,other_side,1530
778,otherwise,1525
779,outhouse,183
780,outlet,77
781,outline,69
782,outlying,25
783,outside,2260
784,over_there,1373
785,overall,173
786,overexposure,2
787,overhaul,8
788,overhead,113
789,overwhelming,153
790,own_mind,61
791,packet,96
792,paint,660
793,pampered,42
794,paper,1709
795,parade,360
796,parallel,147
797,parcel,224
798,parent,2301
799,park,746
800,part_of,2418
801,participate_in,521
802,particular_time,195
803,partly,274
804,partly_because,63
805,party,1245
806,pass,1840
807,passage,301
808,passport,1009
809,past,1132
810,pay,1994
811,peacefully,64
812,peasant,485
813,peasant_woman,44
814,penetrate,140
815,peon,3
816,people,2664
817,people_who,2224
818,perceive,116
819,perfectly,298
820,perform,502
821,perhaps,936
822,perimeter,101
823,persecute,367
824,persecution,329
825,person,2269
826,personal,814
827,personally,1142
828,phd,131
829,philosophy,339
830,photograph,855
831,physical_problem,20
832,physically,719
833,pianist,124
834,pick,1877
835,picture,2181
836,piece,1126
837,piece_of,1769
838,pile,535
839,pin,296
840,place,2602
841,plan,1369
842,plank,122
843,platform,369
844,play,1996
845,play_bridge,57
846,pogrom,491
847,point,2239
848,policeman,882
849,polish,1844
850,political,874
851,political_activity,43
852,political_prisoner,307
853,polling,5
854,population,1070
855,position,1173
856,possibility,674
857,possible,1716
858,post,555
859,post_office,281
860,postal,42
861,postcard,277
862,potato,1275
863,potential,111
864,power,1295
865,practically,708
866,practice,894
867,prepare,1352
868,present,1102
869,preserve,283
870,president,525
871,pretty,1223
872,pretty_close,127
873,pretty_good,645
874,pretty_much,435
875,prevail,125
876,previously,281
877,price,463
878,print,491
879,prisoner,1478
880,private,985
881,prize,152
882,probably,2087
883,professional,723
884,prolong,65
885,prominent_Jews,29
886,promising,49
887,pronouncement,12
888,property,529
889,prosecute,89
890,protect,1037
891,protected,103
892,protection,452
893,protective,126
894,proverbial,11
895,provocation,43
896,prussian,77
897,psychologically,169
898,public,797
899,public_school,1049
900,purpose,971
901,push,1630
902,put,2595
903,quarantine,274
904,quarter,853
905,quite,2078
906,quite_comfortable,69
907,quite_sure,281
908,rabbi,1285
909,race,432
910,racial,118
911,radio,1498
912,rag,393
913,rage,140
914,railway,224
915,railway_station,216
916,raise,1301
917,rank,390
918,rape,408
919,rather,1196
920,ration,954
921,rationale,31
922,react,591
923,reaction,772
924,real,1831
925,real_name,213
926,realize,1828
927,really,2534
928,reason,2005
929,receive,1392
930,recently,545
931,reception,216
932,recognize,1636
933,recollect,145
934,record,993
935,refuse,838
936,regime,287
937,relate,625
938,relationshi,2
939,relatively,344
940,relevant,97
941,relic,11
942,relief,361
943,religion,1355
944,religious,1820
945,remain,1284
946,remark,369
947,remember,2609
948,remind,711
949,repeat,709
950,report,1143
951,repress,40
952,resent,261
953,respect,1044
954,respond,354
955,rest_of,1660
956,restaurant,725
957,restore,139
958,restricted,286
959,restriction,414
960,restroom,42
961,result_of,1059
962,retreat,348
963,return,1312
964,reunite,223
965,reunite_with,247
966,revamp,2
967,revenge,292
968,richer,94
969,ridden,14
970,ridiculous,343
971,rife,11
972,right,2583
973,ritual,262
974,river,1026
975,ro_--,55
976,roof,830
977,roof_over,114
978,room,2357
979,round,716
980,rumor,857
981,run,2347
982,run_into,675
983,run_water,217
984,runaway,44
985,sad,692
986,safe,1134
987,salami,228
988,save,2111
989,say,2657
990,scaffolding,17
991,scapegoat,88
992,scare,1182
993,scary,303
994,scatter,139
995,school,2522
996,secondary_school,53
997,security,399
998,see,2657
999,seek_out,55
1000,seem,1064
1001,seem_like,242
1002,self-centered,18
1003,send,2560
1004,sentence,465
1005,separate,1696
1006,separate_from,693
1007,separation,258
1008,serious,552
1009,serve,1078
1010,service,1197
1011,set,1259
1012,settlement,152
1013,several,1054
1014,several_hundred,155
1015,several_time,477
1016,shadow,154
1017,share,1426
1018,shave,733
1019,shaven_head,44
1020,shed,237
1021,sheet,448
1022,ship,1557
1023,shock,843
1024,shoe,1581
1025,shoe_store,83
1026,shortly_before,267
1027,show,2324
1028,shower,923
1029,shower_room,91
1030,shunt,27
1031,sibling,440
1032,sick,1810
1033,sicker,46
1034,sickness,489
1035,side,2241
1036,sign,1719
1037,since,1979
1038,sind,36
1039,sing,1006
1040,singing,742
1041,sister,2296
1042,sit,2268
1043,sit_around,326
1044,situation,1625
1045,six,1969
1046,six-year-old,52
1047,six_month,1053
1048,six_year,909
1049,size,758
1050,skirt,303
1051,slat,34
1052,sleep,2185
1053,sleep_quarter,48
1054,sleet,15
1055,slice,196
1056,slice_of,326
1057,slipped,7
1058,smack,118
1059,small,2148
1060,small_child,479
1061,smaller,780
1062,smuggle,664
1063,so-called,717
1064,so_forth,618
1065,social,541
1066,socialist,227
1067,socialize,138
1068,society,629
1069,sock,396
1070,soldier,1994
1071,solid,211
1072,some_kind,1225
1073,somebody,2353
1074,somebody_else,1123
1075,someday,253
1076,somehow,1785
1077,someone,1212
1078,someplace,751
1079,somersault,7
1080,something,2600
1081,something_else,994
1082,something_like,1488
1083,someway,29
1084,somewhat,507
1085,somewhere,1583
1086,son,2061
1087,song,816
1088,sophisticated,116
1089,sorry,1802
1090,soup,1260
1091,south,696
1092,spark,102
1093,speak,2491
1094,speak_Czech,76
1095,speak_German,705
1096,speak_german,582
1097,speaking,327
1098,special,1813
1099,spectacle,31
1100,speech,751
1101,spend,1846
1102,spinster,47
1103,spirit,473
1104,splitting,32
1105,spoil,405
1106,spoon,357
1107,sport,558
1108,spread,545
1109,spring,790
1110,stable,349
1111,stadium,90
1112,stage,668
1113,stair,402
1114,stand,2284
1115,stand_outside,254
1116,standing,883
1117,start,2607
1118,start_cry,312
1119,station,1502
1120,stay,2595
1121,stay_behind,289
1122,stay_together,437
1123,step_out,227
1124,still,2599
1125,stocking,186
1126,stomach,599
1127,stooge,3
1128,stop,2394
1129,story,2355
1130,strange,895
1131,strategic,57
1132,straw,819
1133,street,2306
1134,street_car,145
1135,streetcar,239
1136,strength,933
1137,stress,233
1138,strip,449
1139,strong,1337
1140,study,1586
1141,stuff,1445
1142,stupid,671
1143,subconscious,54
1144,subject,949
1145,succeed,540
1146,suddenly,975
1147,suffer,1314
1148,sufficient,165
1149,suit,724
1150,suitcase,666
1151,summer,1534
1152,superb,41
1153,supervisor,289
1154,supervisory,20
1155,support,1228
1156,support_each,50
1157,suppose,2065
1158,supposedly,445
1159,sure,2304
1160,surprise,924
1161,survive,2326
1162,sustain,173
1163,swastika,319
1164,sway,53
1165,swear,361
1166,sweetheart,71
1167,swim,526
1168,synagogue,1626
1169,system,851
1170,tag,100
1171,take,2656
1172,takeover,46
1173,talk,2512
1174,talk_about,2431
1175,tape,1949
1176,tape-record,1
1177,taping,32
1178,tea,550
1179,teach,1920
1180,teacher,1762
1181,teaching,598
1182,technologically,5
1183,technology,85
1184,teenager,544
1185,teens,91
1186,tell,2654
1187,temperature,258
1188,temple,531
1189,tend_to,233
1190,terrible,1776
1191,terribly,685
1192,terror,228
1193,than_i.,73
1194,thank_God,672
1195,thank_god,124
1196,thank_you,2118
1197,these_corpse,13
1198,these_people,1725
1199,thing,2625
1200,think,2653
1201,third,1444
1202,thirsty,226
1203,thirteen_year,63
1204,this_country,1065
1205,this_particular,632
1206,those_day,978
1207,though,1308
1208,thought,1085
1209,thousand,1436
1210,three,2490
1211,three-layer,1
1212,throw,1912
1213,ticket,833
1214,tight,257
1215,til_',32
1216,till,1208
1217,till_1942,48
1218,time,2658
1219,toast,90
1220,today,2178
1221,together,2498
1222,toleran,1
1223,tolerance,81
1224,tomorrow,1086
1225,too_much,1789
1226,too_young,753
1227,torment,58
1228,toss-up,5
1229,touch,1491
1230,tour,315
1231,toward,697
1232,towards,1319
1233,town,2279
1234,track,675
1235,trade,965
1236,traffic,230
1237,train,2389
1238,trained,90
1239,trainload,46
1240,transla,3
1241,transport,1565
1242,traumatic,146
1243,travel,1752
1244,trial,456
1245,trip,1437
1246,triple,94
1247,truck,1689
1248,true,1598
1249,truth,1022
1250,try,1989
1251,try_to,2525
1252,turn,1918
1253,turn_over,256
1254,two,2614
1255,two_brother,805
1256,two_year,1818
1257,typhoid,298
1258,typhus,632
1259,typical,512
1260,uh,602
1261,um,372
1262,unaware_of,46
1263,unbelievable,929
1264,uncle,1604
1265,uncomfortable,219
1266,und,111
1267,undernourishment,15
1268,understand,2364
1269,understanding,522
1270,unfortunately,1191
1271,uniform,1577
1272,uniformly,7
1273,uninterested,13
1274,unique,237
1275,unison,19
1276,unpredictable,35
1277,unreal,90
1278,unreality,7
1279,up-to-date,27
1280,upset,697
1281,uranium,5
1282,urge,230
1283,use,2600
1284,usual,351
1285,usually,1407
1286,vacation,750
1287,vague,124
1288,value,645
1289,verse,83
1290,very_conscious,101
1291,very_famous,456
1292,very_hard,1628
1293,very_much,2246
1294,very_often,664
1295,very_orderly,36
1296,very_poor,559
1297,very_quickly,501
1298,very_rapidly,76
1299,very_religious,863
1300,very_sensible,12
1301,very_sick,804
1302,very_soon,364
1303,very_strong,840
1304,very_strongly,249
1305,very_unique,66
1306,very_vividly,139
1307,view,795
1308,visa,918
1309,visit,2008
1310,visual,86
1311,vivid_memory,42
1312,voice,904
1313,voice_-rsb-,297
1314,volunteer,1061
1315,vote,242
1316,vote_against,21
1317,vote_for,120
1318,wagon,1163
1319,waif,4
1320,wait,2060
1321,wait_for,1746
1322,wake_up,1032
1323,walk,2424
1324,walk_into,629
1325,wall,1491
1326,want,2644
1327,war,2634
1328,war_effort,192
1329,warning,259
1330,watch,1983
1331,watchdog,6
1332,watchtower,51
1333,water,1976
1334,way,2626
1335,weak,577
1336,weaken,69
1337,wear,2004
1338,weight,451
1339,welcome,1056
1340,well,2610
1341,what_happen,2509
1342,whatever,2260
1343,wherever,1294
1344,whether,1458
1345,whoever,1292
1346,whole,2338
1347,whole_family,1147
1348,whole_story,418
1349,whose,799
1350,whose_parent,143
1351,wide,398
1352,wife,2164
1353,willing,167
1354,willing_to,682
1355,willingly,119
1356,window,1833
1357,wipe_out,210
1358,wir,28
1359,wire,826
1360,wish,1217
1361,with_whom,548
1362,within,1375
1363,without,2156
1364,woman,2422
1365,wonderful,1446
1366,wooden,632
1367,word,2082
1368,work,2650
1369,workshop,193
1370,world,2037
1371,worm,103
1372,worry,1242
1373,worry_about,911
1374,worse,986
1375,worst,995
1376,worst_part,157
1377,would,2658
1378,yeah,2069
1379,year,2581
1380,year_ago,859
1381,yell_at,232
1382,yes,2493
1383,yet,1970
1384,young,2278
1385,young_girl,791
1386,young_people,1286
1387,young_person,241
1388,younger,1470
1389,younger_generation,119
1390,younger_than,695
1391,youngest,887
1392,zusammenbleiben,1
1393,about_10,763
1394,abso,10
1395,across,1434
1396,admire,283
1397,affair,391
1398,afford,584
1399,ah,852
1400,airplane,693
1401,alive_today,129
1402,all_kind,1432
1403,along,1368
1404,along_with,557
1405,american_flyer,18
1406,american_soldier,471
1407,american_tank,75
1408,americanize,39
1409,among,1237
1410,amount,342
1411,analyze_myself,9
1412,another_fellow,119
1413,any_kind,819
1414,apartment_house,280
1415,apparently,804
1416,arbeit,68
1417,arrange,881
1418,as_soon,1122
1419,ashamed,456
1420,at_random,122
1421,awful,667
1422,bake,460
1423,bake_bread,107
1424,bakery,538
1425,banda,1
1426,bandage,292
1427,bar,611
1428,bar_mitzvah,596
1429,barn,647
1430,barrack,964
1431,basement,783
1432,beating,578
1433,before_Passover,79
1434,beginning,2107
1435,belly,177
1436,big_city,616
1437,big_sign,148
1438,biggest_city,56
1439,birthday_party,112
1440,blow,701
1441,bombardment,266
1442,bone,640
1443,both_side,550
